gene_list,time
ybjJ,50000
ECB_00845,50000
tfaE,50000
potI,50000
ybjF,50000
poxB,50000
hcp,50000
ybjD,50000
infA,50000
cydD,50000
dmsA,50000
aroA,50000
ycaI,50000
lpxK,50000
ycbB,50000
ycbL,50000
ycbS,50000
ycbT,50000
hyaB,50000
yccZ,50000
ymcA,50000
torR,50000
agp,50000
ycdB,50000
ycdZ,50000
csgG,50000
mdoC,50000
yceJ,50000
rimJ,50000
flgF,50000
flgG,50000
flgK,50000
mfd,50000
mfd,50000
ycfX,50000
dhaR,50000
ispE,50000
ldrC,50000
ychN,50000
narX,50000
narK,50000
narK,50000
cls,50000
kch,50000
yciO,50000
yciQ,50000
btuR,50000
topA,50000
topA,50000
acnA,50000
acnA,50000
rnb,50000
ycjR,50000
ydaM,50000
dbpA,50000
recE,50000
pinR,50000
feaB,50000
tynA,50000
ydbD,50000
ynbC,50000
acpD,50000
ydcK,50000
ydcP,50000
ECB_01413,50000
narW,50000
gadB,50000
ydeQ,50000
ECB_01467,50000
ydeU,50000
marA,50000
ECB_01510,50000
intQ,50000
rspA,50000
mlc,50000
ynfM,50000
ydgJ,50000
rnfC,50000
ydgR,50000
ydhK,50000
ydhK,50000
nemA,50000
lhr,50000
ydhC,50000
cfa,50000
ydhQ,50000
ydhX,50000
ydhV,50000
ydhY,50000
pykF,50000
sufS,50000
ydiM,50000
ydiN,50000
ydiS,50000
arpB,50000
katE,50000
celA,50000
ynjE,50000
topB,50000
ydjL,50000
yeaR,50000
sdaA,50000
yebZ,50000
purT,50000
pykA,50000
pykA,50000
torY,50000
cheA,50000
otsB,50000
yedW,50000
amn,50000
ECB_01906,50000
ECB_01906,50000
dacD,50000
dacD,50000
yeeY,50000
hisD,50000
wcaG,50000
ECB_02013,50000
gatR,50000
fbaB,50000
yegV,50000
yehI,50000
dld,50000
sanA,50000
mglA,50000
mglA,50000
mglB,50000
yeiG,50000
cirA,50000
cirA,50000
yeiE,50000
nfo,50000
fruA,50000
yeiW,50000
spr,50000
rtn,50000
yejA,50000
yejO,50000
ccmA,50000
napB,50000
ada,50000
atoA,50000
glpA,50000
yfbG,50000
yfbW,50000
menC,50000
menC,50000
menF,50000
nuoA,50000
pta,50000
cvpA,50000
dedD,50000
yfcM,50000
mepA,50000
mepA,50000
yfcTU,50000
fadL,50000
ddg,50000
yfeO,50000
gltX,50000
yfeR,50000
ligA,50000
ligA,50000
yffI,50000
eutI,50000
tktB,50000
hyfA,50000
uraA,50000
ppk,50000
yfhM,50000
sseA,50000
pepB,50000
hscA,50000
hcaE,50000
yphA,50000
yfhK,50000
yfhD,50000
acpS,50000
kgtP,50000
yfiH,50000
pheA,50000
yfiN,50000
rplS,50000
ECB_02509,50000
ygaF,50000
stpA,50000
nrdH,50000
ygaX,50000
gutQ,50000
ygaA,50000
ygbD,50000
hycH,50000
hypD,50000
fhlA,50000
mutS,50000
mutS,50000
pcm,50000
cysN,50000
ygcM,50000
ygcN,50000
ygcS,50000
yqcE,50000
yqcE,50000
eno,50000
yqcD,50000
sdaC,50000
ygeD,50000
aas,50000
lysR,50000
kduD,50000
ubiH,50000
yggJ,50000
yeeR,50000
yeeU,50000
ECB_02816,50000
ECB_02838,50000
glcF,50000
glcD,50000
glcD,50000
glcD,50000
glcC,50000
yghO,50000
ECB_02851,50000
ECB_02855,50000
yghU,50000
yghB,50000
ygiS,50000
ygiY,50000
ygiD,50000
ygiE,50000
ygiE,50000
yqiK,50000
cca,50000
ygjE,50000
yqjI,50000
aer,50000
ygjG,50000
ygjV,50000
garP,50000
yhbU,50000
mtr,50000
mtr,50000
hflB,50000
yrbC,50000
yhbL,50000
arcB,50000
gltB,50000
yhcH,50000
nanE,50000
nanT,50000
yhcQ,50000
yhcS,50000
yhdP,50000
fis,50000
acrF,50000
rrfD,50000
rpoA,50000
prlA,50000
rpmD,50000
rplF,50000
gspC,50000
gspD,50000
rpsG,50000
yheS,50000
ppiA,50000
nirD,50000
frlC,50000
gph,50000
yhgE,50000
envZ,50000
malT,50000
malT,50000
malT,50000
rtcR,50000
glpR,50000
glgC,50000
yhhW,50000
ggt,50000
prlC,50000
bcsC,50000
yhjO,50000
dppB,50000
xylA,50000
xylG,50000
avtA,50000
sgbE,50000
yiaU,50000
yiaV,50000
selB,50000
waaT,50000
yicF,50000
ibpB,50000
recF,50000
bglB,50000
pstA,50000
pstC,50000
glmS,50000
atpC,50000
atpG,50000
gidA,50000
asnC,50000
asnA,50000
kup,50000
ilvG,50000
ilvC,50000
ilvC,50000
wecF,50000
aslA,50000
yigZ,50000
yihQ,50000
yihW,50000
fdoH,50000
kdgT,50000
hslU,50000
metL,50000
metL,50000
birA,50000
coaA,50000
rpoB,50000
rpoC,50000
yjaH,50000
aceA,50000
arpA,50000
iclR,50000
pepE,50000
yjbH,50000
xylE,50000
malG,50000
plsB,50000
plsB,50000
uvrA,50000
alsK,50000
alsC,50000
alsA,50000
alsA,50000
yjdC,50000
fxsA,50000
yjeH,50000
ampC,50000
