gene_list,time
yihG,10000
yihO,10000
yihQ,10000
frvR,10000
yiiM,10000
fieF,10000
hslU,10000
hslU,10000
priA,10000
priA,10000
talC,10000
rpoC,10000
zraR,10000
iclR,10000
metH,10000
uvrA,10000
yjcE,10000
actP,10000
yjcH,10000
alsA,10000
alsB,10000
phnJ,10000
phnJ,10000
cadA,10000
groEL,10000
yjeK,10000
yjeA,10000
yjeM,10000
yjeM,10000
yjeM,10000
yjeM,10000
hflK,10000
hflC,10000
yjfR,10000
sgaU,10000
sgaE,10000
rplI,10000
ECB_04072,10000
ECB_04073,10000
cpdB,10000
ytfT,10000
treC,10000
idnO,10000
yis2,10000
fecB,10000
fecI,10000
sgcC,10000
fimF,10000
yjiN,10000
yjiO,10000
yjiPQ,10000
hsdS,10000
hsdM,10000
yjjN,10000
yjjP,10000
rsmC,10000
yjjW,10000
deoC,10000
deoA,10000
nadR,10000
thrA,15000
thrA,15000
dnaJ,15000
nhaR,15000
carA,15000
carA,15000
caiT,15000
surA,15000
imp,15000
polB,15000
araA,15000
thiP,15000
yabN,15000
ftsL,15000
murF,15000
murG,15000
ftsQ,15000
mutT,15000
guaC,15000
aceE,15000
yacH,15000
acnB,15000
yadD,15000
yadC,15000
pcnB,15000
dapD,15000
map,15000
yaeL,15000
dnaE,15000
dnaE,15000
ldcC,15000
yaeQ,15000
cutF,15000
metN,15000
yafQ,15000
prfH,15000
yagV,15000
yagW,15000
eaeH,15000
eaeH,15000
eaeH,15000
ykgG,15000
ykgH,15000
betA,15000
yahE,15000
yahE,15000
yahJ,15000
prpD,15000
lacZ,15000
mhpR,15000
mhpR,15000
mhpB,15000
yaiO,15000
yaiT,15000
yaiT,15000
sbmA,15000
yaiE,15000
rdgC,15000
araJ,15000
phoR,15000
proY,15000
malZ,15000
tgt,15000
secD,15000
secD,15000
tsx,15000
xseB,15000
cyoE,15000
cyoA,15000
ybaY,15000
acrB,15000
kefA,15000
adk,15000
ybaL,15000
ybaP,15000
copA,15000
ybbO,15000
ylbH,15000
gcl,15000
glxR,15000
allB,15000
ybbY,15000
purK,15000
ybcI,15000
sfmD,15000
sfmF,15000
ybcL,15000
nfrA,15000
nfrA,15000
ECB_00529,15000
cusR,15000
cusC,15000
ybdK,15000
insK-1,15000
fepA,15000
fepE,15000
fepE,15000
fepC,15000
fepC,15000
fepD,15000
fepB,15000
fepB,15000
entC,15000
cstA,15000
ybdH,15000
ybdL,15000
ybdN,15000
ybdR,15000
citG,15000
citC,15000
ybeF,15000
mrdB,15000
mrdA,15000
leuS,15000
gltK,15000
lnt,15000
nagE,15000
pgm,15000
speF,15000
speF,15000
ECB_00650,15000
kdpE,15000
kdpB,15000
ybfO,15000
yhhI,15000
ybgA,15000
ybgH,15000
ybgI,15000
ybgK,15000
sucB,15000
sucC,15000
hrsA,15000
tolR,15000
ybgR,15000
modF,15000
ybhH,15000
ybhM,15000
dinG,15000
ybiB,15000
