gene_list,time
ybgP,15000
sdhB,15000
pnuC,15000
ECB_00735,15000
ECB_00737,15000
ECB_00739,15000
moaB,15000
glnQ,15000
ybiP,15000
ybiV,15000
cmr,15000
ECB_00817,15000
ECB_00845,15000
ECB_00845,15000
artI,15000
ybjT,15000
hcr,15000
ybjE,15000
cspD,15000
ftsK,15000
focA,15000
rpsA,15000
lpxK,15000
ycbJ,15000
mukF,15000
ycbB,15000
ycbB,15000
pncB,15000
ycbT,15000
ycbT,15000
ycbF,15000
pqiA,15000
pqiB,15000
yccS,15000
yccW,15000
hyaE,15000
yccC,15000
yccZ,15000
yccZ,15000
ymcD,15000
torS,15000
torS,15000
torT,15000
torC,15000
ycdQ,15000
ycdS,15000
grxB,15000
mviM,15000
rne,15000
plsX,15000
phoP,15000
trmU,15000
ycgG,15000
narL,15000
narX,15000
narG,15000
trpE,15000
sapA,15000
ycjL,15000
ordL,15000
pspF,15000
mppA,15000
mppA,15000
ECB_01342,15000
ompN,15000
aldA,15000
ydcK,15000
yncB,15000
yncG,15000
yddO,15000
yddO,15000
yddS,15000
xasA,15000
ydeU,15000
stfR,15000
ECB_01530,15000
ydfE,15000
ynfI,15000
add,15000
sodC,15000
sodC,15000
ydhS,15000
ydhS,15000
ydhV,15000
pykF,15000
ydiM,15000
arpB,15000
ydjM,15000
astB,15000
astD,15000
ydjX,15000
ansA,15000
ydjE,15000
yeaG,15000
yeaK,15000
yoaC,15000
yoaE,15000
yoaE,15000
manY,15000
yebQ,15000
yebS,15000
yebS,15000
edd,15000
zwf,15000
flhA,15000
cheZ,15000
cheB,15000
tar,15000
motA,15000
ftn,15000
yedY,15000
yeeJ,15000
cobT,15000
wcaG,15000
yegD,15000
yegI,15000
ECB_01992,15000
ECB_02003,15000
ECB_02003,15000
ECB_02013,15000
yehQ,15000
yehT,15000
yeiB,15000
yeiG,15000
yeiG,15000
lysP,15000
rihB,15000
yejE,15000
yejH,15000
yejK,15000
yejO,15000
ccmF,15000
ccmD,15000
napH,15000
atoB,15000
yfaA,15000
glpC,15000
yfaO,15000
menE,15000
menF,15000
nuoM,15000
nuoL,15000
yfbS,15000
yfbS,15000
yfcC,15000
yfcI,15000
flk,15000
fabB,15000
yfcTU,15000
yfcX,15000
evgS,15000
ypdE,15000
yfeO,15000
lysV,15000
eutB,15000
eutE,15000
cchA,15000
ypfG,15000
narQ,15000
acrD,15000
hyfD,15000
upp,15000
ppk,15000
yfgI,15000
pepB,15000
hscA,15000
hcaE,15000
yphF,15000
yfiK,15000
gabP,15000
stpA,15000
yqaB,15000
srlB,15000
hypE,15000
mutS,15000
ygbJ,15000
ygbJ,15000
surE,15000
ygcP,15000
relA,15000
ygdH,15000
fucI,15000
recC,15000
mutH,15000
kduI,15000
ygeW,15000
yqeB,15000
yqeC,15000
ygfK,15000
ygfI,15000
ygfI,15000
cmtB,15000
ECB_02798,15000
flu,15000
flu,15000
flu,15000
yafZ,15000
yeeU,15000
yeeU,15000
yeeU,15000
ECB_02821,15000
