gene_list,time
ECB_02034,15000
yehY,15000
yohGH,15000
sanA,15000
cirA,15000
yeiQ,15000
yejA,15000
yejH,15000
yejH,15000
yejM,15000
yejO,15000
ccmF,15000
atoB,15000
nrdB,15000
glpT,15000
accD,15000
fabB,15000
yfcY,15000
dsdC,15000
dsdC,15000
emrY,15000
yfdZ,15000
yfeY,15000
eutA,15000
hyfB,15000
hyfF,15000
ppk,15000
hcaT,15000
yphH,15000
glyA,15000
yfhB,15000
nadB,15000
yfiC,15000
clpB,15000
recN,15000
ECB_02510,15000
proX,15000
ygaZ,15000
ascF,15000
ascF,15000
ascB,15000
relA,15000
gudX,15000
sdaC,15000
fucA,15000
ptr,15000
ptsP,15000
lysR,15000
yqeG,15000
xdhA,15000
ygeZ,15000
ygeZ,15000
ygfJ,15000
ygfQ,15000
argK,15000
yggC,15000
yggG,15000
gshB,15000
yggL,15000
yggH,15000
yeeR,15000
ECB_02818,15000
ECB_02821,15000
ECB_02838,15000
yghF,15000
yghJ,15000
glcC,15000
ECB_02855,15000
ECB_02857,15000
yqhG,15000
ygiD,15000
yqiH,15000
rpoD,15000
yhaM,15000
agaZ,15000
agaA,15000
agaY,15000
agaC,15000
yraN,15000
yraR,15000
infB,15000
yrbH,15000
gltB,15000
yhcP,15000
yhcS,15000
yhdP,15000
yhdA,15000
yhdY,15000
rpsE,15000
yheR,15000
envZ,15000
malT,15000
rtcB,15000
ugpE,15000
yrhC,15000
yhhI,15000
yhjD,15000
yhjG,15000
yhjJ,15000
ECB_03460,15000
spoT,15000
gltS,15000
ECB_03523,15000
yicM,15000
yidK,15000
dnaA,15000
tnaA,15000
yieL,15000
yieM,15000
kup,15000
cyaA,15000
ECB_03711,15000
yiiE,15000
fdoG,15000
kdgT,15000
cpxA,15000
hslU,15000
argB,15000
nudC,15000
zraR,15000
rrfE,15000
iclR,15000
metH,15000
metH,15000
yjbC,15000
yjbH,15000
yjbM,15000
alr,15000
alr,15000
uvrA,15000
nrfE,15000
yjcR,15000
phnM,15000
phnC,15000
yjdA,15000
melB,15000
melB,15000
ampC,15000
mutL,15000
rnr,15000
aidB,15000
valS,15000
valS,15000
yjgR,15000
fimI,15000
fimH,15000
hsdR,15000
hpaB,15000
hpaB,15000
hpaD,15000
yjjM,15000
nadR,15000
thrA,20000
dnaJ,20000
nhaA,20000
polB,20000
ftsI,20000
murF,20000
yacA,20000
mutT,20000
coaE,20000
cueO,20000
yadG,20000
yadE,20000
yadQ,20000
yaeT,20000
tilS,20000
yaeP,20000
ECB_00212,20000
pepD,20000
proB,20000
proA,20000
yagX,20000
yahE,20000
prpD,20000
codB,20000
codB,20000
mhpR,20000
mhpR,20000
mhpB,20000
yaiT,20000
proC,20000
yajF,20000
queA,20000
nusB,20000
ampG,20000
insL-2,20000
ybaX,20000
ybaX,20000
ylaB,20000
ybaJ,20000
kefA,20000
kefA,20000
dnaX,20000
recR,20000
ybaL,20000
cueR,20000
ybbJ,20000
ybbN,20000
tesA,20000
rhsD,20000
ybbD,20000
gcl,20000
ylbE,20000
cysS,20000
ybcD,20000
ybcL,20000
ECB_00513,20000
nfrA,20000
cusS,20000
fepE,20000
fepE,20000
cstA,20000
dsbG,20000
rna,20000
citA,20000
mrdA,20000
mrdA,20000
ybeY,20000
asnB,20000
nagC,20000
kdpD,20000
ybfO,20000
ybgL,20000
abrB,20000
ybgG,20000
ECB_00732,20000
ECB_00735,20000
uvrB,20000
ybhS,20000
ybhF,20000
ybjJ,20000
ECB_00831,20000
ECB_00833,20000
ECB_00834,20000
rimK,20000
artJ,20000
ltaE,20000
hcr,20000
macB,20000
clpA,20000
cydD,20000
serS,20000
pflA,20000
rpsA,20000
mukB,20000
ycbB,20000
ycbL,20000
ycbT,20000
pqiB,20000
yccF,20000
yccW,20000
hyaE,20000
appB,20000
appB,20000
ymcA,20000
torA,20000
cbpA,20000
phoH,20000
phoH,20000
ymdC,20000
yceI,20000
yceD,20000
ycfD,20000
phoQ,20000
ycgH,20000
hlyE,20000
ycgV,20000
ycgV,20000
ycgV,20000
ychM,20000
yciI,20000
yciL,20000
yciK,20000
topA,20000
sapA,20000
sapA,20000
sapA,20000
ycjM,20000
ycjN,20000
ycjR,20000
ycjS,20000
ycjU,20000
ydbD,20000
ynbB,20000
ynbB,20000
ynbD,20000
ydcA,20000
ydcJ,20000
yddK,20000
xasA,20000
tam,20000
ydfI,20000
dicB,20000
ydfE,20000
intQ,20000
ynfE,20000
ynfF,20000
rstB,20000
uidB,20000
ydgR,20000
slyB,20000
ydhM,20000
lhr,20000
pykF,20000
ydiK,20000
ydiL,20000
ydiM,20000
pfkB,20000
astC,20000
ynjB,20000
ansA,20000
ydjG,20000
yeaA,20000
yeaG,20000
yeaH,20000
yeaJ,20000
yeaJ,20000
yoaA,20000
ECB_01797,20000
pphA,20000
yobB,20000
yebK,20000
aspS,20000
yecT,20000
flhB,20000
flhB,20000
yeeJ,20000
yeeN,20000
nac,20000
erfK,20000
cobU,20000
insD,20000
insD,20000
yegN,20000
yegN,20000
yegO,20000
ECB_01989,20000
ECB_01999,20000
ECB_02002,20000
ECB_02003,20000
ECB_02004,20000
gatZ,20000
fbaB,20000
ECB_02033,20000
ECB_02034,20000
yehI,20000
yehW,20000
yehY,20000
yohGH,20000
sanA,20000
yeiG,20000
cirA,20000
yejA,20000
yejH,20000
yejH,20000
rplY,20000
yejM,20000
yejO,20000
ada,20000
atoB,20000
yfaQ,20000
nrdB,20000
glpT,20000
glpC,20000
yfaX,20000
accD,20000
fabB,20000
yfcY,20000
dsdC,20000
dsdC,20000
emrY,20000
yfdZ,20000
ypdA,20000
glk,20000
yfeV,20000
yfeY,20000
eutA,20000
eutG,20000
ypfH,20000
hyfB,20000
hyfF,20000
hda,20000
ppk,20000
csiE,20000
hcaT,20000
hcaT,20000
hcaT,20000
hcaB,20000
yphG,20000
yphH,20000
glyA,20000
yfhB,20000
yfhH,20000
nadB,20000
yfiC,20000
clpB,20000
ppnK,20000
ECB_02510,20000
proX,20000
ygaZ,20000
srlE,20000
ygbD,20000
ascF,20000
ascF,20000
ascB,20000
ygcS,20000
relA,20000
sdaC,20000
sdaB,20000
fucA,20000
fucA,20000
ptsP,20000
lysR,20000
yqeG,20000
yqeG,20000
xdhA,20000
xdhA,20000
ygeZ,20000
ygeZ,20000
ygfJ,20000
guaD,20000
ygfQ,20000
gcvP,20000
argK,20000
yggG,20000
gshB,20000
yggR,20000
yggL,20000
yggH,20000
yeeR,20000
yeeU,20000
ECB_02818,20000
ECB_02821,20000
ECB_02821,20000
ECB_02838,20000
yghF,20000
glcC,20000
ECB_02855,20000
ECB_02857,20000
yghR,20000
yghB,20000
yghB,20000
ygiD,20000
yqiH,20000
ttdA,20000
rpoD,20000
yqjH,20000
ygjT,20000
yqjC,20000
yhaM,20000
agaZ,20000
agaY,20000
agaC,20000
yraN,20000
yraR,20000
deaD,20000
infB,20000
yrbH,20000
yhcC,20000
gltB,20000
degS,20000
yhcP,20000
yhcS,20000
yhdP,20000
yhdA,20000
yhdY,20000
rpsE,20000
gspK,20000
yheR,20000
envZ,20000
gntT,20000
malT,20000
rtcA,20000
yhhZ,20000
ugpE,20000
yhjG,20000
yhjG,20000
yhjJ,20000
yhjY,20000
yiaO,20000
ECB_03460,20000
spoT,20000
gltS,20000
ECB_03519,20000
ECB_03523,20000
yicL,20000
yicM,20000
yidK,20000
tnaA,20000
yieL,20000
yieC,20000
yieM,20000
kup,20000
ilvG,20000
gppA,20000
cyaA,20000
metR,20000
ECB_03711,20000
bipA,20000
yiiE,20000
fdoG,20000
kdgT,20000
cpxA,20000
hslU,20000
argB,20000
nudC,20000
zraR,20000
purH,20000
iclR,20000
metH,20000
metH,20000
yjbC,20000
yjbH,20000
yjbM,20000
alr,20000
alr,20000
uvrA,20000
nrfB,20000
nrfE,20000
yjcR,20000
yjcS,20000
phnE,20000
phnE,20000
phnC,20000
yjdA,20000
melB,20000
melB,20000
dsbD,20000
ampC,20000
mutL,20000
hflK,20000
rnr,20000
ytfM,20000
valS,20000
sgcX,20000
fimI,20000
fimI,20000
fimH,20000
yjiV,20000
hsdR,20000
hpaB,20000
hpaA,20000
hpaX,20000
hpaD,20000
yjjM,20000
nadR,20000
thrA,30000
dnaJ,30000
nhaA,30000
nhaA,30000
yabF,30000
polB,30000
yabN,30000
ftsI,30000
mutT,30000
coaE,30000
cueO,30000
yadG,30000
yadE,30000
yadQ,30000
yaeT,30000
tilS,30000
yaeP,30000
ECB_00212,30000
pepD,30000
proB,30000
proA,30000
yagS,30000
yagX,30000
ykgD,30000
ykgF,30000
prpD,30000
codB,30000
codB,30000
mhpR,30000
mhpR,30000
mhpB,30000
yaiT,30000
proC,30000
yajF,30000
queA,30000
nusB,30000
ampG,30000
ybaX,30000
ybaX,30000
ylaB,30000
kefA,30000
kefA,30000
kefA,30000
dnaX,30000
ybaL,30000
cueR,30000
ybbJ,30000
ybbK,30000
tesA,30000
rhsD,30000
ybbD,30000
gcl,30000
ylbE,30000
cysS,30000
ybcD,30000
ybcL,30000
ECB_00513,30000
cusS,30000
fepE,30000
fepE,30000
cstA,30000
dsbG,30000
rna,30000
citA,30000
mrdA,30000
mrdA,30000
ybeV,30000
ybeX,30000
