gene_list,time
yis2,15000
sgcX,15000
fimB,15000
fimC,15000
hsdR,15000
hpaB,15000
hpaF,15000
nadR,15000
thrA,20000
ribF,20000
araD,20000
fruR,20000
ftsI,20000
ftsW,20000
secA,20000
yacF,20000
guaC,20000
hofB,20000
ampE,20000
ampE,20000
yacH,20000
hrpB,20000
fhuC,20000
yadQ,20000
tsf,20000
yaeL,20000
dnaE,20000
tilS,20000
yafC,20000
mltD,20000
ECB_00212,20000
yafM,20000
phoE,20000
proB,20000
ykgK,20000
betA,20000
betB,20000
betB,20000
yahB,20000
yahI,20000
yahN,20000
mhpR,20000
hemB,20000
yaiB,20000
proY,20000
ECB_00378,20000
lon,20000
ybaL,20000
ybbB,20000
allB,20000
ylbE,20000
cysS,20000
folD,20000
ybcK,20000
entF,20000
ybdL,20000
ahpF,20000
ybeF,20000
mrdA,20000
ybeR,20000
ybeX,20000
ybfN,20000
kdpD,20000
rhsC,20000
rhsC,20000
rhsC,20000
ybfO,20000
hrsA,20000
ybgG,20000
ybgC,20000
modC,20000
ECB_00733,20000
ECB_00735,20000
ECB_00735,20000
ybhN,20000
ybiA,20000
yliF,20000
yliG,20000
ECB_00833,20000
ECB_00834,20000
ECB_00841,20000
potG,20000
ybjT,20000
hcp,20000
macA,20000
ycaI,20000
ycbB,20000
aspC,20000
pncB,20000
ssuA,20000
ycbQ,20000
ycbS,20000
ycbF,20000
ycbF,20000
pqiA,20000
yccW,20000
hyaA,20000
appC,20000
yccC,20000
yccZ,20000
putP,20000
ycdR,20000
insF-1,20000
ycdW,20000
mdoH,20000
yceE,20000
yceG,20000
fhuE,20000
mfd,20000
ycgE,20000
ECB_01147,20000
dsbB,20000
ycgV,20000
narJ,20000
ychK,20000
adhE,20000
yciV,20000
yciR,20000
rnb,20000
sapA,20000
aldH,20000
ycjO,20000
ycjZ,20000
abgA,20000
pinR,20000
acpD,20000
ydcL,20000
ydcR,20000
ydcS,20000
ydcS,20000
ydcS,20000
yncC,20000
rhsE,20000
narW,20000
fdnG,20000
sfcA,20000
sfcA,20000
yddR,20000
pqqL,20000
ydeS,20000
ECB_01464,20000
ydeU,20000
lomR,20000
lomR,20000
insF-3,20000
ECB_01528,20000
ydfE,20000
ynfB,20000
ydgI,20000
fumC,20000
fumC,20000
uidB,20000
malX,20000
malX,20000
add,20000
ydgR,20000
ydhJ,20000
sodC,20000
ydhC,20000
ydhC,20000
ydhC,20000
ydhW,20000
pykF,20000
ydiK,20000
ydiN,20000
ydiU,20000
ydiY,20000
katE,20000
ydjR,20000
ydjR,20000
ydjZ,20000
yeaI,20000
ptrB,20000
znuA,20000
znuA,20000
yebC,20000
torY,20000
cheA,20000
cheA,20000
insA-13,20000
cobS,20000
ECB_01906,20000
hisH,20000
gmd,20000
yegO,20000
ogrK,20000
yegZ,20000
ECB_02000,20000
yohI,20000
yohK,20000
yeiS,20000
lysP,20000
rtn,20000
bcr,20000
ccmH,20000
ccmF,20000
ada,20000
atoS,20000
yfaP,20000
yfaS,20000
yfaL,20000
yfaL,20000
glpT,20000
menD,20000
nuoM,20000
nuoL,20000
usg,20000
yfcR,20000
yfcTU,20000
dsdC,20000
evgS,20000
yfeO,20000
yfeO,20000
yfeO,20000
yfeR,20000
ucpA,20000
yfeX,20000
tktB,20000
hyfB,20000
ppx,20000
yfhM,20000
pepB,20000
pepB,20000
csiE,20000
yphD,20000
yfiO,20000
ygaF,20000
nrdI,20000
ygaH,20000
gshA,20000
hypF,20000
hycI,20000
