gene_list,population
pykF,Ara+1B
ynjI,Ara+1B
ynjI,Ara+1B
yegM,Ara+1B
yphE,Ara+1B
yghJ,Ara+1B
malT,Ara+1B
rhsA,Ara+1B
rhsA,Ara+1B
hslU,Ara+1B
nadR,Ara+1B
rpsA,Ara+2A
appC,Ara+2A
flgB,Ara+2A
mppA,Ara+2A
pykF,Ara+2A
wcaM,Ara+2A
mreB,Ara+2A
spoT,Ara+2A
hslU,Ara+2A
rpsA,Ara+2B
appC,Ara+2B
flgB,Ara+2B
mppA,Ara+2B
pykF,Ara+2B
wcaM,Ara+2B
mreB,Ara+2B
spoT,Ara+2B
hslU,Ara+2B
yaaU,Ara+3A
murD,Ara+3A
ftsZ,Ara+3A
yadS,Ara+3A
ECB_00212,Ara+3A
yahB,Ara+3A
lacI,Ara+3A
hemB,Ara+3A
ybaE,Ara+3A
ybaL,Ara+3A
gltJ,Ara+3A
focA,Ara+3A
rpsA,Ara+3A
ycbF,Ara+3A
pqiA,Ara+3A
pqiB,Ara+3A
torC,Ara+3A
plsX,Ara+3A
ptsG,Ara+3A
trmU,Ara+3A
yciD,Ara+3A
ycjL,Ara+3A
ycjR,Ara+3A
ycjV,Ara+3A
ECB_01342,Ara+3A
yncG,Ara+3A
xasA,Ara+3A
gadB,Ara+3A
ECB_01534,Ara+3A
ydhS,Ara+3A
ydhS,Ara+3A
pykF,Ara+3A
arpB,Ara+3A
astB,Ara+3A
zwf,Ara+3A
yeeJ,Ara+3A
cobU,Ara+3A
wbbB,Ara+3A
yegP,Ara+3A
yehT,Ara+3A
rihB,Ara+3A
yejE,Ara+3A
yejH,Ara+3A
gyrA,Ara+3A
flk,Ara+3A
evgS,Ara+3A
cysP,Ara+3A
eutB,Ara+3A
ygaF,Ara+3A
mutS,Ara+3A
relA,Ara+3A
ygdH,Ara+3A
mutH,Ara+3A
yqeB,Ara+3A
ygfK,Ara+3A
ECB_02798,Ara+3A
yafZ,Ara+3A
ECB_02838,Ara+3A
parC,Ara+3A
ygjP,Ara+3A
infB,Ara+3A
rplM,Ara+3A
mreC,Ara+3A
yhdT,Ara+3A
gspA,Ara+3A
prkB,Ara+3A
malP,Ara+3A
malT,Ara+3A
malT,Ara+3A
ugpE,Ara+3A
rpoH,Ara+3A
yhiH,Ara+3A
arsB,Ara+3A
yhjQ,Ara+3A
yhjQ,Ara+3A
ECB_03460,Ara+3A
ECB_03519,Ara+3A
yicM,Ara+3A
rfe,Ara+3A
pldA,Ara+3A
ECB_03715,Ara+3A
bipA,Ara+3A
hslU,Ara+3A
ftsN,Ara+3A
metL,Ara+3A
yijP,Ara+3A
iclR,Ara+3A
rpiR,Ara+3A
phnP,Ara+3A
phnJ,Ara+3A
phnI,Ara+3A
yjdF,Ara+3A
yjeM,Ara+3A
pepA,Ara+3A
yjhE,Ara+3A
hpaE,Ara+3A
arcA,Ara+3A
yaaU,Ara+3B
ftsZ,Ara+3B
yadS,Ara+3B
yahB,Ara+3B
lacI,Ara+3B
hemB,Ara+3B
ybaE,Ara+3B
ybaL,Ara+3B
gltJ,Ara+3B
ubiF,Ara+3B
moaB,Ara+3B
ybjL,Ara+3B
focA,Ara+3B
rpsA,Ara+3B
pqiA,Ara+3B
pqiB,Ara+3B
torC,Ara+3B
yccE,Ara+3B
mdoC,Ara+3B
plsX,Ara+3B
fabH,Ara+3B
trmU,Ara+3B
ycjL,Ara+3B
ycjL,Ara+3B
ycjU,Ara+3B
ECB_01342,Ara+3B
yncG,Ara+3B
xasA,Ara+3B
ydhS,Ara+3B
pykF,Ara+3B
arpB,Ara+3B
ydjC,Ara+3B
astB,Ara+3B
zwf,Ara+3B
pgsA,Ara+3B
yeeJ,Ara+3B
yeeJ,Ara+3B
yeeJ,Ara+3B
wbbB,Ara+3B
yehT,Ara+3B
bglX,Ara+3B
rihB,Ara+3B
yejE,Ara+3B
yejH,Ara+3B
ccmA,Ara+3B
flk,Ara+3B
evgS,Ara+3B
yfeU,Ara+3B
eutB,Ara+3B
hcaE,Ara+3B
mutS,Ara+3B
ygbK,Ara+3B
relA,Ara+3B
ygdH,Ara+3B
sdaB,Ara+3B
mutH,Ara+3B
yqeB,Ara+3B
ygfK,Ara+3B
ECB_02798,Ara+3B
ECB_02838,Ara+3B
parC,Ara+3B
ygjP,Ara+3B
infB,Ara+3B
nusA,Ara+3B
nanK,Ara+3B
rplM,Ara+3B
mreC,Ara+3B
yhdT,Ara+3B
gspA,Ara+3B
prkB,Ara+3B
yhfC,Ara+3B
gntT,Ara+3B
malP,Ara+3B
malT,Ara+3B
malT,Ara+3B
ugpE,Ara+3B
rpoH,Ara+3B
yhiH,Ara+3B
ECB_03460,Ara+3B
ECB_03519,Ara+3B
yicM,Ara+3B
yieN,Ara+3B
rfe,Ara+3B
pldA,Ara+3B
ECB_03715,Ara+3B
bipA,Ara+3B
rhaS,Ara+3B
hslU,Ara+3B
ftsN,Ara+3B
metL,Ara+3B
iclR,Ara+3B
rpiR,Ara+3B
phnP,Ara+3B
phnI,Ara+3B
yjdF,Ara+3B
yjeM,Ara+3B
amiB,Ara+3B
arcA,Ara+3B
pykF,Ara+4A
infC,Ara+4A
ECB_01992,Ara+4A
hcaD,Ara+4A
garR,Ara+4A
mreB,Ara+4A
spoT,Ara+4A
trkH,Ara+4A
hslU,Ara+4A
pykF,Ara+4B
infC,Ara+4B
ECB_01992,Ara+4B
mreB,Ara+4B
spoT,Ara+4B
trkH,Ara+4B
hslU,Ara+4B
ycdG,Ara+5A
fabF,Ara+5A
pykF,Ara+5A
csiD,Ara+5A
hybO,Ara+5A
mreB,Ara+5A
yhdG,Ara+5A
rplF,Ara+5A
rpsC,Ara+5A
trkH,Ara+5A
hslU,Ara+5A
iclR,Ara+5A
fabF,Ara+5B
pykF,Ara+5B
hybO,Ara+5B
mreB,Ara+5B
yhdG,Ara+5B
rplF,Ara+5B
trkH,Ara+5B
hslU,Ara+5B
iclR,Ara+5B
mrdB,Ara+6A
pykF,Ara+6A
spoT,Ara+6A
bglG,Ara+6A
iclR,Ara+6A
mrdB,Ara+6B
pykF,Ara+6B
spoT,Ara+6B
bglG,Ara+6B
iclR,Ara+6B
