population,gene_list
Ara-1A,araJ
Ara-1A,ybaL
Ara-1A,mrdA
Ara-1A,nagC
Ara-1A,pflB
Ara-1A,topA
Ara-1A,xasA
Ara-1A,pykF
Ara-1A,yegI
Ara-1A,yghJ
Ara-1A,infB
Ara-1A,gltB
Ara-1A,rpsM
Ara-1A,malT
Ara-1A,spoT
Ara-1A,hslU
Ara-1A,pflC
Ara-1A,hsdM
Ara-1B,araJ
Ara-1B,ybaL
Ara-1B,mrdA
Ara-1B,nagC
Ara-1B,topA
Ara-1B,pykF
Ara-1B,yegI
Ara-1B,yghJ
Ara-1B,infB
Ara-1B,gltB
Ara-1B,rpsM
Ara-1B,malT
Ara-1B,spoT
Ara-1B,hslU
Ara-1B,pflC
Ara-1B,hsdM
Ara-2A,thrA
Ara-2A,dnaJ
Ara-2A,nhaA
Ara-2A,caiE
Ara-2A,ftsI
Ara-2A,coaE
Ara-2A,yadG
Ara-2A,yadE
Ara-2A,yadE
Ara-2A,yadQ
Ara-2A,ECB_00212
Ara-2A,proA
Ara-2A,yagX
Ara-2A,prpD
Ara-2A,codB
Ara-2A,mhpT
Ara-2A,ampH
Ara-2A,sbmA
Ara-2A,ampG
Ara-2A,kefA
Ara-2A,kefA
Ara-2A,dnaX
Ara-2A,ybaL
Ara-2A,cueR
Ara-2A,rhsD
Ara-2A,ybbD
Ara-2A,gcl
Ara-2A,ylbE
Ara-2A,cusS
Ara-2A,cusA
Ara-2A,cstA
Ara-2A,dsbG
Ara-2A,rna
Ara-2A,mrdA
Ara-2A,mrdA
Ara-2A,ybeQ
Ara-2A,ybfO
Ara-2A,yhhI
Ara-2A,yhhI
Ara-2A,ECB_00735
Ara-2A,uvrB
Ara-2A,ybiL
Ara-2A,ECB_00831
Ara-2A,ECB_00833
Ara-2A,mukB
Ara-2A,ycbL
Ara-2A,ycbF
Ara-2A,ycbW
Ara-2A,hyaE
Ara-2A,appB
Ara-2A,ymcC
Ara-2A,torD
Ara-2A,putA
Ara-2A,yceI
Ara-2A,ndh
Ara-2A,ycfX
Ara-2A,ymgA
Ara-2A,hlyE
Ara-2A,topA
Ara-2A,sapA
Ara-2A,ycjM
Ara-2A,ycjN
Ara-2A,ycjU
Ara-2A,ynbA
Ara-2A,ydcJ
Ara-2A,fdnI
Ara-2A,xasA
Ara-2A,rstB
Ara-2A,pykF
Ara-2A,ydiL
Ara-2A,yeaG
Ara-2A,fadD
Ara-2A,yebO
Ara-2A,ECB_01797
Ara-2A,aspS
Ara-2A,yecT
Ara-2A,flhB
Ara-2A,otsA
Ara-2A,insD
Ara-2A,ECB_01992
Ara-2A,ECB_01999
Ara-2A,ECB_02002
Ara-2A,fbaB
Ara-2A,ECB_02034
Ara-2A,yohGH
Ara-2A,yohI
Ara-2A,cirA
Ara-2A,yejA
Ara-2A,yejH
Ara-2A,yejM
Ara-2A,atoB
Ara-2A,yfaL
Ara-2A,yfbG
Ara-2A,nuoE
Ara-2A,yfbT
Ara-2A,accD
Ara-2A,yfdZ
Ara-2A,eutA
Ara-2A,ppk
Ara-2A,hcaT
Ara-2A,yphH
Ara-2A,yfhB
Ara-2A,nadB
Ara-2A,yfiC
Ara-2A,clpB
Ara-2A,ECB_02510
Ara-2A,ygaF
Ara-2A,ygaZ
Ara-2A,hypF
Ara-2A,ascF
Ara-2A,ascB
Ara-2A,relA
Ara-2A,sdaC
Ara-2A,csdA
Ara-2A,ptsP
Ara-2A,gshB
Ara-2A,yeeR
Ara-2A,ECB_02838
Ara-2A,glcC
