population,gene_list
Ara-2A,ECB_02855
Ara-2A,ECB_02857
Ara-2A,yqiH
Ara-2A,rpoD
Ara-2A,yhaM
Ara-2A,agaZ
Ara-2A,agaY
Ara-2A,agaC
Ara-2A,yraR
Ara-2A,mtr
Ara-2A,infB
Ara-2A,yrbH
Ara-2A,gltB
Ara-2A,yhdP
Ara-2A,acrF
Ara-2A,rpsE
Ara-2A,envZ
Ara-2A,malT
Ara-2A,yhhI
Ara-2A,yhjJ
Ara-2A,xylH
Ara-2A,mtlA
Ara-2A,spoT
Ara-2A,gltS
Ara-2A,ECB_03523
Ara-2A,tnaA
Ara-2A,kup
Ara-2A,kup
Ara-2A,leuT
Ara-2A,ECB_03711
Ara-2A,yiiE
Ara-2A,fdoG
Ara-2A,kdgT
Ara-2A,hslU
Ara-2A,argB
Ara-2A,nudC
Ara-2A,iclR
Ara-2A,metH
Ara-2A,metH
Ara-2A,yjbH
Ara-2A,alr
Ara-2A,nrfE
Ara-2A,yjcR
Ara-2A,phnH
Ara-2A,phnC
Ara-2A,yjdA
Ara-2A,melB
Ara-2A,mutL
Ara-2A,rnr
Ara-2A,nrdD
Ara-2A,valS
Ara-2A,yjgR
Ara-2A,fimH
Ara-2A,hsdR
Ara-2A,yjjM
Ara-2A,nadR
Ara-2B,dnaJ
Ara-2B,nhaA
Ara-2B,polB
Ara-2B,ftsI
Ara-2B,coaE
Ara-2B,yadG
Ara-2B,yadE
Ara-2B,yadQ
Ara-2B,yadQ
Ara-2B,ECB_00212
Ara-2B,proA
Ara-2B,yagX
Ara-2B,yagX
Ara-2B,prpD
Ara-2B,lacA
Ara-2B,frmA
Ara-2B,ampG
Ara-2B,kefA
Ara-2B,kefA
Ara-2B,dnaX
Ara-2B,ybaL
Ara-2B,cueR
Ara-2B,ybbD
Ara-2B,gcl
Ara-2B,cusS
Ara-2B,cstA
Ara-2B,dsbG
Ara-2B,rna
Ara-2B,citF
Ara-2B,mrdA
Ara-2B,mrdA
Ara-2B,gltK
Ara-2B,nagA
Ara-2B,potE
Ara-2B,kdpA
Ara-2B,ybfO
Ara-2B,ybgL
Ara-2B,uvrB
Ara-2B,ECB_00831
Ara-2B,ECB_00833
Ara-2B,cydC
Ara-2B,ycaI
Ara-2B,mukB
Ara-2B,ycbL
Ara-2B,hyaE
Ara-2B,appB
Ara-2B,phoH
Ara-2B,yceI
Ara-2B,ycfD
Ara-2B,hlyE
Ara-2B,treA
Ara-2B,trpB
Ara-2B,topA
Ara-2B,sapA
Ara-2B,ycjM
Ara-2B,ycjN
Ara-2B,ycjU
Ara-2B,pinR
Ara-2B,ydcA
Ara-2B,ydcJ
Ara-2B,xasA
Ara-2B,rstB
Ara-2B,ydhS
Ara-2B,pykF
Ara-2B,ydjF
Ara-2B,yeaG
Ara-2B,ECB_01797
Ara-2B,yebK
Ara-2B,aspS
Ara-2B,yecT
Ara-2B,flhB
Ara-2B,amn
Ara-2B,yeeO
Ara-2B,insD
Ara-2B,gnd
Ara-2B,ECB_01992
Ara-2B,ECB_01999
Ara-2B,ECB_02002
Ara-2B,ECB_02004
Ara-2B,fbaB
Ara-2B,ECB_02034
Ara-2B,yohGH
Ara-2B,yeiA
Ara-2B,cirA
Ara-2B,yejA
Ara-2B,yejH
Ara-2B,yejM
Ara-2B,ccmA
Ara-2B,atoB
Ara-2B,yfcF
Ara-2B,accD
Ara-2B,yfdC
Ara-2B,yfdZ
Ara-2B,ypdB
Ara-2B,ypdD
Ara-2B,eutA
Ara-2B,hyfB
Ara-2B,ppk
Ara-2B,hcaT
Ara-2B,yphG
Ara-2B,yphH
Ara-2B,yfhB
Ara-2B,yfhL
Ara-2B,nadB
Ara-2B,yfiC
Ara-2B,clpB
Ara-2B,ECB_02510
Ara-2B,ygaZ
Ara-2B,ascF
Ara-2B,ascB
Ara-2B,relA
Ara-2B,sdaC
Ara-2B,ECB_02651
Ara-2B,argA
Ara-2B,ptsP
Ara-2B,gshB
Ara-2B,yeeR
Ara-2B,ECB_02804
Ara-2B,ECB_02838
Ara-2B,glcC
Ara-2B,ECB_02855
Ara-2B,ECB_02857
Ara-2B,ygiQ
Ara-2B,yqiH
Ara-2B,rpoD
Ara-2B,yhaM
Ara-2B,agaZ
Ara-2B,agaY
Ara-2B,agaC
Ara-2B,yraR
Ara-2B,infB
Ara-2B,yrbH
Ara-2B,yhbL
Ara-2B,gltB
Ara-2B,sspA
Ara-2B,yhdP
Ara-2B,rpsE
Ara-2B,envZ
Ara-2B,malT
Ara-2B,nikE
Ara-2B,yhhI
Ara-2B,yhjJ
Ara-2B,dppC
Ara-2B,spoT
Ara-2B,gltS
Ara-2B,ECB_03523
Ara-2B,yidK
Ara-2B,tnaA
Ara-2B,yieF
Ara-2B,kup
Ara-2B,ECB_03693
Ara-2B,ECB_03711
Ara-2B,yiiE
Ara-2B,fdoG
Ara-2B,kdgT
Ara-2B,hslU
Ara-2B,argB
Ara-2B,nudC
Ara-2B,iclR
Ara-2B,metH
Ara-2B,metH
Ara-2B,yjbH
Ara-2B,alr
Ara-2B,nrfE
Ara-2B,yjcR
Ara-2B,phnJ
Ara-2B,phnC
Ara-2B,yjdA
Ara-2B,melB
Ara-2B,mutL
Ara-2B,rnr
Ara-2B,valS
Ara-2B,fimI
Ara-2B,fimH
Ara-2B,hsdR
Ara-2B,hpaD
Ara-2B,yjjM
Ara-2B,yjjB
Ara-2B,leuP
Ara-2B,nadR
Ara-3A,yabN
Ara-3A,ybaL
Ara-3A,ybcQ
Ara-3A,mrdB
Ara-3A,asnB
Ara-3A,ldrC
Ara-3A,topA
Ara-3A,pykF
Ara-3A,rnd
Ara-3A,ECB_01992
Ara-3A,fis
Ara-3A,rpsG
Ara-3A,malT
Ara-3A,hslU
Ara-3A,metL
Ara-3A,ytfN
Ara-3B,yabN
Ara-3B,ybaL
Ara-3B,ybcQ
Ara-3B,mrdB
Ara-3B,asnB
Ara-3B,ldrC
Ara-3B,topA
Ara-3B,pykF
Ara-3B,rnd
Ara-3B,sdaA
Ara-3B,fis
Ara-3B,rpsG
Ara-3B,malT
Ara-3B,hslU
Ara-3B,metL
Ara-3B,cycA
Ara-3B,ytfN
Ara-4A,imp
Ara-4A,thiP
Ara-4A,ftsW
Ara-4A,hofC
Ara-4A,hofB
Ara-4A,aceE
Ara-4A,yacH
Ara-4A,tsf
Ara-4A,tilS
Ara-4A,cutF
Ara-4A,ECB_00212
Ara-4A,ykgK
Ara-4A,betA
Ara-4A,betT
Ara-4A,glnK
Ara-4A,acrA
Ara-4A,ybaL
Ara-4A,allB
Ara-4A,entF
Ara-4A,mrdB
Ara-4A,mrdA
Ara-4A,rhsC
Ara-4A,nei
Ara-4A,ECB_00733
Ara-4A,ECB_00735
Ara-4A,ybiA
Ara-4A,dinG
Ara-4A,ybiC
Ara-4A,yliG
Ara-4A,ECB_00833
Ara-4A,potG
Ara-4A,mukB
Ara-4A,ycbF
Ara-4A,yccW
Ara-4A,hyaA
Ara-4A,appC
Ara-4A,fhuE
Ara-4A,dsbB
Ara-4A,ychK
Ara-4A,ycjO
Ara-4A,ycjW
Ara-4A,ydcS
Ara-4A,yncC
Ara-4A,yddG
Ara-4A,fdnG
Ara-4A,sfcA
Ara-4A,pqqL
Ara-4A,ynfB
Ara-4A,fumC
Ara-4A,fumC
Ara-4A,ydgJ
Ara-4A,ydhJ
Ara-4A,nemA
Ara-4A,pykF
Ara-4A,ydjN
Ara-4A,nudG
Ara-4A,sdaA
Ara-4A,pykA
Ara-4A,yebC
Ara-4A,torY
Ara-4A,cheA
Ara-4A,cheA
Ara-4A,otsA
Ara-4A,wbbC
Ara-4A,wbbB
Ara-4A,ECB_01992
Ara-4A,yohI
Ara-4A,yeiG
Ara-4A,lysP
Ara-4A,ccmH
Ara-4A,ada
Ara-4A,atoS
Ara-4A,yfaP
Ara-4A,nuoG
Ara-4A,yfcR
Ara-4A,dsdC
Ara-4A,yfeO
Ara-4A,pepB
Ara-4A,yphD
Ara-4A,yphD
Ara-4A,ygaF
Ara-4A,ygaH
Ara-4A,cysJ
Ara-4A,ygcN
Ara-4A,ygcS
Ara-4A,ECB_02649
Ara-4A,kduI
Ara-4A,gcvP
Ara-4A,iciA
Ara-4A,cmtA
Ara-4A,tktA
Ara-4A,speA
Ara-4A,yqgE
Ara-4A,ECB_02798
Ara-4A,flu
Ara-4A,ECB_02821
Ara-4A,ECB_02851
Ara-4A,yghB
Ara-4A,ygiM
Ara-4A,ygjI
Ara-4A,fadH
Ara-4A,ygjU
Ara-4A,infB
Ara-4A,yhbE
Ara-4A,yhbL
Ara-4A,arcB
Ara-4A,argR
Ara-4A,fis
Ara-4A,rpsD
Ara-4A,rplC
Ara-4A,chiA
Ara-4A,yhfS
Ara-4A,envZ
Ara-4A,malT
Ara-4A,yrhA
Ara-4A,livG
Ara-4A,yhhT
Ara-4A,yhiI
Ara-4A,yhiQ
Ara-4A,yhiE
Ara-4A,yicF
Ara-4A,spoT
Ara-4A,yicO
Ara-4A,trmE
Ara-4A,mioC
Ara-4A,yihF
Ara-4A,iclR
Ara-4A,phnL
Ara-4A,yjcZ
Ara-4A,basS
Ara-4A,dcuS
Ara-4A,ampC
Ara-4A,mutL
Ara-4A,hflK
Ara-4A,ytfM
Ara-4A,ytfT
Ara-4A,ytfT
Ara-4A,yjfF
Ara-4A,yjgL
Ara-4A,yjgN
Ara-4A,yjgZ
Ara-4A,insG
Ara-4A,fimB
Ara-4A,fimC
Ara-4A,hsdR
Ara-4A,leuV
Ara-4A,nadR
Ara-4B,ftsW
Ara-4B,secA
Ara-4B,yacF
Ara-4B,hofB
Ara-4B,yacH
Ara-4B,tsf
Ara-4B,tilS
Ara-4B,proS
Ara-4B,prfH
Ara-4B,proB
Ara-4B,ykgK
Ara-4B,betA
Ara-4B,mhpR
Ara-4B,secD
Ara-4B,cyoB
Ara-4B,ybaL
Ara-4B,allB
Ara-4B,entF
Ara-4B,ybeF
Ara-4B,mrdA
Ara-4B,rhsC
Ara-4B,ECB_00733
Ara-4B,ECB_00735
Ara-4B,ybiA
Ara-4B,yliG
Ara-4B,ECB_00833
Ara-4B,potG
Ara-4B,ycbF
Ara-4B,ycbF
Ara-4B,ycbF
Ara-4B,yccW
Ara-4B,hyaA
Ara-4B,appC
Ara-4B,yccC
Ara-4B,yccZ
Ara-4B,plsX
Ara-4B,fhuE
Ara-4B,dsbB
Ara-4B,narJ
Ara-4B,narI
Ara-4B,ychK
Ara-4B,adhE
Ara-4B,yciV
Ara-4B,ycjO
Ara-4B,recE
Ara-4B,ydcS
Ara-4B,yncC
Ara-4B,fdnG
Ara-4B,sfcA
Ara-4B,sfcA
Ara-4B,yddR
Ara-4B,pqqL
Ara-4B,ynfB
Ara-4B,ydgG
Ara-4B,fumC
Ara-4B,ydhJ
Ara-4B,pykF
Ara-4B,ydiN
Ara-4B,znuA
Ara-4B,yebC
Ara-4B,torY
Ara-4B,cheA
Ara-4B,cheA
Ara-4B,leuZ
Ara-4B,ogrK
Ara-4B,ECB_01992
Ara-4B,yegX
Ara-4B,dld
Ara-4B,yohI
Ara-4B,lysP
Ara-4B,yejO
Ara-4B,ccmH
Ara-4B,ada
Ara-4B,atoS
Ara-4B,yfaP
Ara-4B,glpA
Ara-4B,yfcR
Ara-4B,dsdC
Ara-4B,yfeO
Ara-4B,yfeO
Ara-4B,pepB
Ara-4B,yphD
Ara-4B,ygaF
Ara-4B,nrdI
Ara-4B,ygaH
Ara-4B,ispF
Ara-4B,cysJ
Ara-4B,ygcN
Ara-4B,ygcS
Ara-4B,ygcE
Ara-4B,xdhA
Ara-4B,gcvP
Ara-4B,iciA
Ara-4B,speA
Ara-4B,yqgE
Ara-4B,ECB_02798
Ara-4B,flu
Ara-4B,ECB_02851
Ara-4B,yghB
Ara-4B,ygjI
Ara-4B,fadH
Ara-4B,ygjU
Ara-4B,yraR
Ara-4B,infB
Ara-4B,yhbE
Ara-4B,yrbE
Ara-4B,yhbL
Ara-4B,arcB
Ara-4B,argR
Ara-4B,yhdG
Ara-4B,fis
Ara-4B,rpsD
Ara-4B,rplC
Ara-4B,chiA
Ara-4B,yhfS
Ara-4B,envZ
Ara-4B,malT
Ara-4B,malT
Ara-4B,livG
Ara-4B,yhhT
Ara-4B,yhiI
Ara-4B,yhiQ
Ara-4B,yhiE
Ara-4B,yibH
Ara-4B,ECB_03460
Ara-4B,yicF
Ara-4B,spoT
Ara-4B,yicO
Ara-4B,dgoK
Ara-4B,trmE
Ara-4B,mioC
Ara-4B,purD
Ara-4B,iclR
Ara-4B,yjcF
Ara-4B,phnF
Ara-4B,phnF
Ara-4B,yjcZ
Ara-4B,basS
Ara-4B,dcuS
Ara-4B,ampC
Ara-4B,frdA
Ara-4B,mutL
Ara-4B,hflK
Ara-4B,ECB_04074
Ara-4B,ytfL
Ara-4B,ytfM
Ara-4B,ytfT
Ara-4B,yjfF
Ara-4B,yjgN
Ara-4B,yjgZ
Ara-4B,insG
Ara-4B,fimB
Ara-4B,fimC
Ara-4B,hsdR
Ara-4B,nadR
Ara-5A,htpG
Ara-5A,ybaL
Ara-5A,ybeB
Ara-5A,ycdM
Ara-5A,fabF
Ara-5A,cls
Ara-5A,topA
Ara-5A,marA
Ara-5A,pykF
Ara-5A,yehM
Ara-5A,yfaQ
Ara-5A,infB
Ara-5A,yhdJ
Ara-5A,hslU
Ara-5A,iclR
Ara-5A,uvrA
Ara-5A,mdoB
Ara-5B,rof
Ara-5B,aes
Ara-5B,ybbY
Ara-5B,ybeB
Ara-5B,fabF
Ara-5B,topA
Ara-5B,pykF
Ara-5B,yfaQ
Ara-5B,ypdA
Ara-5B,hyfA
Ara-5B,ascB
Ara-5B,ECB_02816
Ara-5B,tolC
Ara-5B,smf
Ara-5B,rhsB
Ara-5B,yihF
Ara-5B,tpiA
Ara-5B,hslU
Ara-5B,uvrA
Ara-5B,yjcE
Ara-5B,arcA
Ara-6A,rhsD
Ara-6A,ylcG
Ara-6A,oppD
Ara-6A,pykF
Ara-6A,infC
Ara-6A,menC
Ara-6A,mreC
Ara-6A,yhdG
Ara-6A,prlA
Ara-6A,malT
Ara-6A,gntR
Ara-6A,spoT
Ara-6A,hslU
Ara-6A,nadR
Ara-6A,arcA
Ara-6B,rhsD
Ara-6B,ylcG
Ara-6B,oppD
Ara-6B,pykF
Ara-6B,infC
Ara-6B,iap
Ara-6B,ECB_02816
Ara-6B,mreC
Ara-6B,yhdG
Ara-6B,prlA
Ara-6B,envZ
Ara-6B,malT
Ara-6B,malT
Ara-6B,malT
Ara-6B,spoT
Ara-6B,hslU
Ara-6B,metH
Ara-6B,nadR
Ara-6B,arcA
Ara+1A,hupB
Ara+1A,insB-7
Ara+1A,gltL
Ara+1A,phoH
Ara+1A,ycfC
Ara+1A,narZ
Ara+1A,pykF
Ara+1A,yebY
Ara+1A,yecE
Ara+1A,pmrD
Ara+1A,yfcTU
Ara+1A,yfcTU
Ara+1A,yeeU
Ara+1A,malT
Ara+1A,rhsA
Ara+1A,hslU
Ara+1A,iclR
Ara+1A,cycA
Ara+1A,nadR
Ara+1A,arcA
Ara+1B,gltL
Ara+1B,phoH
Ara+1B,ycfC
Ara+1B,ydgG
Ara+1B,pykF
Ara+1B,yecE
Ara+1B,yedW
Ara+1B,yfcTU
Ara+1B,yfcTU
Ara+1B,yeeU
Ara+1B,malT
Ara+1B,rhsA
Ara+1B,hslU
Ara+1B,cycA
Ara+1B,fimA
Ara+1B,nadR
Ara+1B,arcA
Ara+2A,ybaL
Ara+2A,rpsA
Ara+2A,appC
Ara+2A,flgB
Ara+2A,speG
Ara+2A,pykF
Ara+2A,wcaM
Ara+2A,yqeB
Ara+2A,mreB
Ara+2A,spoT
Ara+2A,yihP
Ara+2A,hslU
Ara+2A,iclR
Ara+2A,metH
Ara+2A,nadR
Ara+2A,arcA
Ara+2B,ybaL
Ara+2B,rpsA
Ara+2B,appC
Ara+2B,flgB
Ara+2B,speG
Ara+2B,pykF
Ara+2B,wcaM
Ara+2B,yqeB
Ara+2B,ECB_02821
Ara+2B,mreB
Ara+2B,spoT
Ara+2B,yihP
Ara+2B,hslU
Ara+2B,iclR
Ara+2B,metH
Ara+2B,nadR
Ara+2B,arcA
Ara+3A,insL-1
Ara+3A,caiB
Ara+3A,yaaU
Ara+3A,araB
Ara+3A,ftsZ
Ara+3A,yadH
Ara+3A,yadS
Ara+3A,lpxD
Ara+3A,lpxB
Ara+3A,ECB_00212
Ara+3A,yahB
Ara+3A,yahB
Ara+3A,yahF
Ara+3A,yahJ
Ara+3A,lacI
Ara+3A,hemB
Ara+3A,thiL
Ara+3A,ybaE
Ara+3A,ybaL
Ara+3A,ushA
Ara+3A,ybaK
Ara+3A,copA
Ara+3A,allC
Ara+3A,ylbE
Ara+3A,appY
Ara+3A,nfrB
Ara+3A,fepD
Ara+3A,dcuC
Ara+3A,ybeV
Ara+3A,gltJ
Ara+3A,gltJ
Ara+3A,ybeZ
Ara+3A,nagD
Ara+3A,nagB
Ara+3A,nagE
Ara+3A,kdpD
Ara+3A,ybgP
Ara+3A,gltA
Ara+3A,pnuC
Ara+3A,ybhE
Ara+3A,ECB_00734
Ara+3A,ybiX
Ara+3A,ybjJ
Ara+3A,ECB_00817
Ara+3A,ybjN
Ara+3A,focA
Ara+3A,rpsA
Ara+3A,pqiA
Ara+3A,pqiB
Ara+3A,torC
Ara+3A,ycdJ
Ara+3A,grxB
Ara+3A,plsX
Ara+3A,ycfT
Ara+3A,trmU
Ara+3A,trpE
Ara+3A,acnA
Ara+3A,ycjL
Ara+3A,dbpA
Ara+3A,ECB_01342
Ara+3A,ompN
Ara+3A,aldA
Ara+3A,yncG
Ara+3A,yddV
Ara+3A,yddW
Ara+3A,xasA
Ara+3A,yneA
Ara+3A,ydfQ
Ara+3A,pntB
Ara+3A,uidA
Ara+3A,nemA
Ara+3A,ydhB
Ara+3A,ydhS
Ara+3A,ydhS
Ara+3A,pykF
Ara+3A,ydiO
Ara+3A,arpB
Ara+3A,astB
Ara+3A,yeaG
Ara+3A,zwf
Ara+3A,torY
Ara+3A,yeeJ
Ara+3A,wcaA
Ara+3A,gatC
Ara+3A,yegW
Ara+3A,molR
Ara+3A,yehQ
Ara+3A,yehT
Ara+3A,rihB
Ara+3A,yejE
Ara+3A,yejH
Ara+3A,yejM
Ara+3A,yejO
Ara+3A,ccmF
Ara+3A,ccmF
Ara+3A,ccmD
Ara+3A,glpC
Ara+3A,menE
Ara+3A,nuoM
Ara+3A,yfbU
Ara+3A,flk
Ara+3A,fabB
Ara+3A,yfcS
Ara+3A,emrY
Ara+3A,evgS
Ara+3A,evgS
Ara+3A,ypdE
Ara+3A,eutB
Ara+3A,dapE
Ara+3A,hyfJ
Ara+3A,hmpA
Ara+3A,clpB
Ara+3A,yfiR
Ara+3A,csiD
Ara+3A,gshA
Ara+3A,hypE
Ara+3A,mutS
Ara+3A,relA
Ara+3A,ygdH
Ara+3A,ECB_02651
Ara+3A,mutH
Ara+3A,ygeZ
Ara+3A,yqeB
Ara+3A,yqeC
Ara+3A,ygfK
Ara+3A,ygfB
Ara+3A,ECB_02798
Ara+3A,yeeU
Ara+3A,ECB_02835
Ara+3A,ECB_02838
Ara+3A,yghO
Ara+3A,yghB
Ara+3A,parC
Ara+3A,ygiA
Ara+3A,ygiC
Ara+3A,ygiE
Ara+3A,rfaE
Ara+3A,ygjE
Ara+3A,ygjK
Ara+3A,ygjO
Ara+3A,ygjP
Ara+3A,tdcD
Ara+3A,garK
Ara+3A,garK
Ara+3A,agaB
Ara+3A,yraP
Ara+3A,infB
Ara+3A,nusA
Ara+3A,rplM
Ara+3A,yhcP
Ara+3A,mreC
Ara+3A,yhdT
Ara+3A,rpsD
Ara+3A,gspA
Ara+3A,gspG
Ara+3A,gspL
Ara+3A,prkB
Ara+3A,pabA
Ara+3A,yhgE
Ara+3A,malP
Ara+3A,malT
Ara+3A,malT
Ara+3A,ugpC
Ara+3A,ugpE
Ara+3A,rpoH
Ara+3A,yhiH
Ara+3A,yhjA
Ara+3A,yhjA
Ara+3A,yhjK
Ara+3A,ldrD
Ara+3A,dppA
Ara+3A,yiaM
Ara+3A,waaL
Ara+3A,mutM
Ara+3A,ECB_03519
Ara+3A,yicL
Ara+3A,yicM
Ara+3A,gidA
Ara+3A,rfe
Ara+3A,pldA
Ara+3A,ECB_03715
Ara+3A,ECB_03721
Ara+3A,bipA
Ara+3A,hslU
Ara+3A,ftsN
Ara+3A,metL
Ara+3A,coaA
Ara+3A,iclR
Ara+3A,yjbH
Ara+3A,acs
Ara+3A,gltP
Ara+3A,yjcQ
Ara+3A,alsA
Ara+3A,rpiR
Ara+3A,phnP
Ara+3A,phnI
Ara+3A,yjdF
Ara+3A,dcuA
Ara+3A,yjeM
Ara+3A,cpdB
Ara+3A,mpl
Ara+3A,treB
Ara+3A,fimH
Ara+3A,gntP
Ara+3A,hsdR
Ara+3A,hsdR
Ara+3A,hpaI
Ara+3A,nadR
Ara+3A,arcA
Ara+3B,nhaR
Ara+3B,caiC
Ara+3B,caiB
Ara+3B,yaaU
Ara+3B,ftsZ
Ara+3B,ppdD
Ara+3B,aroP
Ara+3B,gcd
Ara+3B,yadH
Ara+3B,yadS
Ara+3B,lpxD
Ara+3B,lpxA
Ara+3B,lpxB
Ara+3B,aspU
Ara+3B,yahB
Ara+3B,yahB
Ara+3B,prpD
Ara+3B,lacI
Ara+3B,hemB
Ara+3B,yaiT
Ara+3B,thiL
Ara+3B,ybaE
Ara+3B,ybaL
Ara+3B,ushA
Ara+3B,allC
Ara+3B,ylbE
Ara+3B,sfmD
Ara+3B,sfmF
Ara+3B,appY
Ara+3B,nfrB
Ara+3B,cusS
Ara+3B,entF
Ara+3B,entF
Ara+3B,ybdB
Ara+3B,citA
Ara+3B,dcuC
Ara+3B,crcA
Ara+3B,ybeV
Ara+3B,gltJ
Ara+3B,ybeZ
Ara+3B,kdpD
Ara+3B,kdpD
Ara+3B,kdpA
Ara+3B,ybgP
Ara+3B,ybgP
Ara+3B,pnuC
Ara+3B,modB
Ara+3B,ybhE
Ara+3B,ybhE
Ara+3B,ECB_00734
Ara+3B,ECB_00735
Ara+3B,yliH
Ara+3B,ybjJ
Ara+3B,ECB_00817
Ara+3B,ybjN
Ara+3B,dmsA
Ara+3B,focA
Ara+3B,rpsA
Ara+3B,pqiA
Ara+3B,pqiB
Ara+3B,fabA
Ara+3B,yccT
Ara+3B,torC
Ara+3B,ycdJ
Ara+3B,ycdJ
Ara+3B,ycdW
Ara+3B,grxB
Ara+3B,plsX
Ara+3B,ycfT
Ara+3B,trmU
Ara+3B,trpE
Ara+3B,ycjL
Ara+3B,ycjF
Ara+3B,abgB
Ara+3B,ECB_01342
Ara+3B,ompN
Ara+3B,ydbH
Ara+3B,aldA
Ara+3B,yncG
Ara+3B,yddW
Ara+3B,xasA
Ara+3B,yneA
Ara+3B,ydfQ
Ara+3B,nemA
Ara+3B,ydhB
Ara+3B,ydhS
Ara+3B,ydhS
Ara+3B,pykF
Ara+3B,ydiM
Ara+3B,ydiU
Ara+3B,arpB
Ara+3B,astB
Ara+3B,pncA
Ara+3B,yeaG
Ara+3B,zwf
Ara+3B,yeeJ
Ara+3B,yegB
Ara+3B,yegZ
Ara+3B,ECB_01992
Ara+3B,gatC
Ara+3B,yegW
Ara+3B,yehT
Ara+3B,yeiG
Ara+3B,lysP
Ara+3B,rihB
Ara+3B,yejE
Ara+3B,yejH
Ara+3B,yejO
Ara+3B,ccmD
Ara+3B,glpC
Ara+3B,menE
Ara+3B,nuoM
Ara+3B,flk
Ara+3B,fabB
Ara+3B,emrY
Ara+3B,evgS
Ara+3B,yfdY
Ara+3B,ypdE
Ara+3B,yfeS
Ara+3B,eutB
Ara+3B,eutT
Ara+3B,hyfF
Ara+3B,hyfJ
Ara+3B,hmpA
Ara+3B,hypE
Ara+3B,fhlA
Ara+3B,mutS
Ara+3B,relA
Ara+3B,gudD
Ara+3B,ygdH
Ara+3B,fucK
Ara+3B,recB
Ara+3B,mutH
Ara+3B,ygeZ
Ara+3B,yqeB
Ara+3B,yqeC
Ara+3B,ygfK
Ara+3B,ECB_02798
Ara+3B,yeeU
Ara+3B,yeeU
Ara+3B,ECB_02821
