population,gene_list
Ara-1A,pcnB
Ara-1A,insB-2
Ara-1A,araJ
Ara-1A,ybaL
Ara-1A,mrdA
Ara-1A,nagC
Ara-1A,dhaM
Ara-1A,topA
Ara-1A,pykF
Ara-1A,ynjI
Ara-1A,yegI
Ara-1A,ECB_02816
Ara-1A,yghJ
Ara-1A,ebgR
Ara-1A,infB
Ara-1A,arcB
Ara-1A,gltB
Ara-1A,rpsM
Ara-1A,malT
Ara-1A,glpE
Ara-1A,spoT
Ara-1A,hslU
Ara-1A,pflC
Ara-1A,iclR
Ara-1A,fimA
Ara-1A,nadR
Ara-1B,pcnB
Ara-1B,insB-2
Ara-1B,araJ
Ara-1B,ybaL
Ara-1B,mrdA
Ara-1B,nagC
Ara-1B,dhaM
Ara-1B,topA
Ara-1B,pykF
Ara-1B,ynjI
Ara-1B,yegI
Ara-1B,yghJ
Ara-1B,yqiG
Ara-1B,ebgR
Ara-1B,infB
Ara-1B,arcB
Ara-1B,gltB
Ara-1B,rpsM
Ara-1B,malT
Ara-1B,yhhA
Ara-1B,spoT
Ara-1B,hslU
Ara-1B,pflC
Ara-1B,iclR
Ara-1B,fimA
Ara-1B,nadR
Ara-2A,thrA
Ara-2A,ispH
Ara-2A,caiA
Ara-2A,yabF
Ara-2A,ftsI
Ara-2A,coaE
Ara-2A,ampD
Ara-2A,speE
Ara-2A,htrE
Ara-2A,yadQ
Ara-2A,uppS
Ara-2A,tilS
Ara-2A,yaeB
Ara-2A,yagR
Ara-2A,ykgK
Ara-2A,prpD
Ara-2A,mhpA
Ara-2A,mhpC
Ara-2A,mhpF
Ara-2A,yaiT
Ara-2A,ampH
Ara-2A,sbcC
Ara-2A,yajO
Ara-2A,ppiD
Ara-2A,maa
Ara-2A,kefA
Ara-2A,ybaL
Ara-2A,cueR
Ara-2A,ybbD
Ara-2A,gcl
Ara-2A,sfmD
Ara-2A,cusS
Ara-2A,cusC
Ara-2A,cusA
Ara-2A,pheP
Ara-2A,cstA
Ara-2A,ybdH
Ara-2A,ybdQ
Ara-2A,rna
Ara-2A,mrdA
Ara-2A,ECB_00624
Ara-2A,nagB
Ara-2A,potE
Ara-2A,modC
Ara-2A,ybhI
Ara-2A,ECB_00735
Ara-2A,uvrB
Ara-2A,ybhG
Ara-2A,mntR
Ara-2A,ybiY
Ara-2A,fsa
Ara-2A,ybiK
Ara-2A,cmr
Ara-2A,potF
Ara-2A,artQ
Ara-2A,ybjE
Ara-2A,aqpZ
Ara-2A,aat
Ara-2A,lrp
Ara-2A,ftsK
Ara-2A,pflB
Ara-2A,ycaO
Ara-2A,ycbC
Ara-2A,ycbF
Ara-2A,helD
Ara-2A,yccT
Ara-2A,yccW
Ara-2A,hyaB
Ara-2A,hyaE
Ara-2A,appB
Ara-2A,yccZ
Ara-2A,torS
Ara-2A,putA
Ara-2A,ycdO
Ara-2A,ycdW
Ara-2A,ycdZ
Ara-2A,mdoG
Ara-2A,yceE
Ara-2A,rne
Ara-2A,fhuE
Ara-2A,ycgE
Ara-2A,narG
Ara-2A,sohB
Ara-2A,acnA
Ara-2A,acnA
Ara-2A,sapA
Ara-2A,sapA
Ara-2A,ordL
Ara-2A,intR
Ara-2A,recE
Ara-2A,ECB_01342
Ara-2A,ynaF
Ara-2A,ydbD
Ara-2A,hrpA
Ara-2A,ydcJ
Ara-2A,yncA
Ara-2A,ECB_01413
Ara-2A,narZ
Ara-2A,fdnG
Ara-2A,yddP
Ara-2A,yddP
Ara-2A,yddP
Ara-2A,ydeN
Ara-2A,yneA
Ara-2A,yneB
Ara-2A,tam
Ara-2A,yneH
Ara-2A,dcp
Ara-2A,ECB_01505
Ara-2A,ynfD
Ara-2A,ynfF
Ara-2A,asr
Ara-2A,malX
Ara-2A,rnfC
Ara-2A,rnfD
Ara-2A,ydhA
Ara-2A,ydhO
Ara-2A,ydhQ
Ara-2A,pykF
Ara-2A,ydiJ
Ara-2A,astB
Ara-2A,ynjC
Ara-2A,yeaI
Ara-2A,yeaJ
Ara-2A,yeaV
Ara-2A,yeaV
Ara-2A,yoaE
Ara-2A,manX
Ara-2A,prc
Ara-2A,yebS
Ara-2A,torZ
Ara-2A,torZ
Ara-2A,yecT
Ara-2A,flhB
Ara-2A,otsA
Ara-2A,araG
Ara-2A,yecA
Ara-2A,yecA
Ara-2A,uvrY
Ara-2A,yedU
Ara-2A,yeeJ
Ara-2A,yeeO
Ara-2A,ECB_01906
Ara-2A,yeeA
Ara-2A,yeeF
Ara-2A,wcaG
Ara-2A,wzc
Ara-2A,wzc
Ara-2A,yegM
Ara-2A,yegN
Ara-2A,yegO
Ara-2A,yegO
Ara-2A,ECB_01999
Ara-2A,ECB_02003
Ara-2A,yehI
Ara-2A,yehM
Ara-2A,yehS
Ara-2A,yehX
Ara-2A,pbpG
Ara-2A,yeiB
Ara-2A,yeiG
Ara-2A,fruK
Ara-2A,yeiW
Ara-2A,yejH
Ara-2A,napH
Ara-2A,mqo
Ara-2A,rcsC
Ara-2A,atoB
Ara-2A,yfaA
Ara-2A,gyrA
Ara-2A,yfbG
Ara-2A,menC
Ara-2A,menF
Ara-2A,yfbL
Ara-2A,yfcD
Ara-2A,yfcF
Ara-2A,truA
Ara-2A,mepA
Ara-2A,vacJ
Ara-2A,emrK
Ara-2A,evgA
Ara-2A,yfdZ
Ara-2A,ypdE
Ara-2A,ypdF
Ara-2A,yfeO
Ara-2A,cysA
Ara-2A,cysU
Ara-2A,nlpB
Ara-2A,hyfA
Ara-2A,hyfF
Ara-2A,hyfI
Ara-2A,hyfR
Ara-2A,hyfR
Ara-2A,guaA
Ara-2A,sseB
Ara-2A,pepB
Ara-2A,hcaT
Ara-2A,hcaB
Ara-2A,hmpA
Ara-2A,lepB
Ara-2A,nadB
Ara-2A,yfiC
Ara-2A,yfiQ
Ara-2A,recN
Ara-2A,ygaA
Ara-2A,ascF
Ara-2A,ascF
Ara-2A,hypB
Ara-2A,ispF
Ara-2A,yqcE
Ara-2A,ygcF
Ara-2A,pyrG
Ara-2A,mazG
Ara-2A,relA
Ara-2A,xdhA
Ara-2A,xdhB
Ara-2A,ygeX
Ara-2A,yqeA
Ara-2A,yqeB
Ara-2A,ygfK
Ara-2A,pepP
Ara-2A,ygfH
Ara-2A,yggF
Ara-2A,gshB
Ara-2A,ECB_02798
Ara-2A,flu
Ara-2A,flu
Ara-2A,yeeU
Ara-2A,ECB_02815
Ara-2A,ECB_02819
Ara-2A,ECB_02838
Ara-2A,yghJ
Ara-2A,yghK
Ara-2A,glcF
Ara-2A,ECB_02857
Ara-2A,yghS
Ara-2A,hybD
Ara-2A,parC
Ara-2A,tolC
Ara-2A,tolC
Ara-2A,ygiD
