population,gene_list
Ara-1A,thrA
Ara-1A,yaaH
Ara-1A,carB
Ara-1A,caiA
Ara-1A,murF
Ara-1A,murD
Ara-1A,mutT
Ara-1A,pdhR
Ara-1A,yadK
Ara-1A,htrE
Ara-1A,pcnB
Ara-1A,pfs
Ara-1A,ldcC
Ara-1A,ldcC
Ara-1A,insB-2
Ara-1A,yhhI
Ara-1A,fhiA
Ara-1A,ykgA
Ara-1A,ykgF
Ara-1A,betA
Ara-1A,betI
Ara-1A,yahJ
Ara-1A,yahK
Ara-1A,prpE
Ara-1A,cynR
Ara-1A,cynT
Ara-1A,cynX
Ara-1A,cynX
Ara-1A,mhpA
Ara-1A,yajF
Ara-1A,araJ
Ara-1A,sbcC
Ara-1A,secF
Ara-1A,ribH
Ara-1A,tig
Ara-1A,maa
Ara-1A,kefA
Ara-1A,apt
Ara-1A,aes
Ara-1A,ybaL
Ara-1A,fsr
Ara-1A,ybbA
Ara-1A,ybbP
Ara-1A,hyi
Ara-1A,allC
Ara-1A,cysS
Ara-1A,sfmH
Ara-1A,renD
Ara-1A,ybcM
Ara-1A,nfrA
Ara-1A,cusS
Ara-1A,cusR
Ara-1A,cusA
Ara-1A,citT
Ara-1A,citA
Ara-1A,ybeF
Ara-1A,mrdB
Ara-1A,mrdA
Ara-1A,ybeR
Ara-1A,gltI
Ara-1A,nagC
Ara-1A,kdpB
Ara-1A,ybfO
Ara-1A,ybfO
Ara-1A,phrB
Ara-1A,ybgJ
Ara-1A,ybgK
Ara-1A,abrB
Ara-1A,ybgQ
Ara-1A,sucB
Ara-1A,ybgG
Ara-1A,aroG
Ara-1A,ybhC
Ara-1A,ECB_00732
Ara-1A,uvrB
Ara-1A,ybhO
Ara-1A,ybiF
Ara-1A,ybiR
Ara-1A,ybiV
Ara-1A,yliG
Ara-1A,ECB_00833
Ara-1A,artM
Ara-1A,ybjR
Ara-1A,ybjE
Ara-1A,clpA
Ara-1A,pflB
Ara-1A,pflB
Ara-1A,ycbB
Ara-1A,ycbS
Ara-1A,ompA
Ara-1A,ycdI
Ara-1A,ycdO
Ara-1A,ycdS
Ara-1A,ymdC
Ara-1A,yceE
Ara-1A,pyrC
Ara-1A,flgD
Ara-1A,ycfH
Ara-1A,fhuE
Ara-1A,ycfS
Ara-1A,ymgC
Ara-1A,ycgG
Ara-1A,ycgH
Ara-1A,ycgM
Ara-1A,hlyE
Ara-1A,dhaM
Ara-1A,dhaR
Ara-1A,narX
Ara-1A,narK
Ara-1A,topA
Ara-1A,topA
Ara-1A,pyrF
Ara-1A,yciT
Ara-1A,yciR
Ara-1A,yciR
Ara-1A,yciW
Ara-1A,sapA
Ara-1A,goaG
Ara-1A,ycjG
Ara-1A,mppA
Ara-1A,mppA
Ara-1A,ynaI
Ara-1A,ogt
Ara-1A,ydfQ
Ara-1A,trkG
Ara-1A,ynbB
Ara-1A,trg
Ara-1A,ydcI
Ara-1A,ydcP
Ara-1A,narU
Ara-1A,yddG
Ara-1A,fdnG
Ara-1A,fdnH
Ara-1A,yddW
Ara-1A,gadB
Ara-1A,pqqL
Ara-1A,ydeU
Ara-1A,yneE
Ara-1A,yneE
Ara-1A,ydfJ
Ara-1A,ydfP
Ara-1A,speG
Ara-1A,ynfD
Ara-1A,ynfI
Ara-1A,ydgD
Ara-1A,rstA
Ara-1A,tus
Ara-1A,ydgK
Ara-1A,ydgR
Ara-1A,pdxY
Ara-1A,lhr
Ara-1A,lhr
Ara-1A,ydhO
Ara-1A,ECB_01628
Ara-1A,pykF
Ara-1A,sufD
Ara-1A,ydiS
Ara-1A,ydiD
Ara-1A,ydiA
Ara-1A,yniA
Ara-1A,ydjO
Ara-1A,celF
Ara-1A,celF
Ara-1A,astE
Ara-1A,ynjI
Ara-1A,sppA
Ara-1A,ydjH
Ara-1A,gapA
Ara-1A,yoaE
Ara-1A,yebZ
Ara-1A,yobB
Ara-1A,ptrB
Ara-1A,zwf
Ara-1A,znuC
Ara-1A,torY
Ara-1A,uvrC
Ara-1A,uvrY
Ara-1A,yedV
Ara-1A,yedX
Ara-1A,yeeJ
Ara-1A,cbl
Ara-1A,cobS
Ara-1A,yeeZ
Ara-1A,yegD
Ara-1A,yegI
Ara-1A,yegI
Ara-1A,gatB
Ara-1A,yegV
Ara-1A,metG
Ara-1A,yehM
Ara-1A,yohI
Ara-1A,cdd
Ara-1A,yeiH
Ara-1A,rtn
Ara-1A,yejE
Ara-1A,yejE
Ara-1A,yejK
Ara-1A,napA
Ara-1A,yojI
Ara-1A,yojL
Ara-1A,atoS
Ara-1A,gyrA
Ara-1A,yfaL
Ara-1A,glpC
Ara-1A,arnT
Ara-1A,menC
Ara-1A,yfbB
Ara-1A,ECB_02200
Ara-1A,nuoM
Ara-1A,nuoG
Ara-1A,pta
Ara-1A,yfcC
Ara-1A,yfcE
Ara-1A,hisM
Ara-1A,accD
Ara-1A,yfdE
Ara-1A,yfdW
Ara-1A,ypdE
Ara-1A,ypdG
Ara-1A,crr
Ara-1A,amiA
Ara-1A,eutC
Ara-1A,eutG
Ara-1A,eutT
Ara-1A,maeB
Ara-1A,talA
Ara-1A,acrD
Ara-1A,gcvR
Ara-1A,yfgC
Ara-1A,uraA
Ara-1A,hcaT
Ara-1A,yphA
Ara-1A,yfhB
Ara-1A,rncS
Ara-1A,rseB
Ara-1A,yfiF
Ara-1A,yfiO
Ara-1A,ECB_02509
Ara-1A,emrR
Ara-1A,hypF
Ara-1A,hycE
Ara-1A,hycA
Ara-1A,pphB
Ara-1A,ygbM
Ara-1A,ygcQ
Ara-1A,ygcE
Ara-1A,ECB_02621
Ara-1A,ygcG
Ara-1A,barA
Ara-1A,barA
Ara-1A,gudX
Ara-1A,yqcB
Ara-1A,sdaC
Ara-1A,ECB_02649
Ara-1A,fucK
Ara-1A,ygdI
Ara-1A,ygdL
Ara-1A,ptr
Ara-1A,recC
Ara-1A,ppdB
Ara-1A,ygeD
Ara-1A,aas
Ara-1A,yqeA
Ara-1A,ygfS
Ara-1A,prfB
Ara-1A,dsbC
